Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,400,1058,Sustained drought,-0.506844277,0.002977867,665.6987995,0.839602702,0.025317927,6,0,1.420000017,16.87656212,18.17381477,16.09657478,399.1539307,400.1462402,12.46666336,12.51660919,64.75678253,65.01622009,300.3377686,0.064087011
E. globulus,17/01/2011,1,Amb,400,1058,Sustained drought,-0.476585356,0.002868057,659.2167373,0.839749806,0.024390465,6,0,1.420000017,16.87586212,18.17387009,16.09711075,399.1715698,400.104126,12.46710587,12.51521969,64.76193237,65.01186371,300.3529358,0.044666611
E. globulus,17/01/2011,1,Amb,400,1059,Sustained drought,-0.538904413,0.001605627,930.0993539,0.655240738,0.010680551,6,0,1.420000017,16.96027184,18.46009254,16.09501648,398.5794067,399.646759,14.71732521,14.7383337,76.02459717,76.13311768,300.5395508,0.04056653
E. globulus,17/01/2011,1,Amb,400,1059,Sustained drought,-0.517283687,0.001609837,907.2764642,0.655118957,0.010706546,6,0,1.420000017,16.95983315,18.45882797,16.09521103,398.5904846,399.614624,14.71683884,14.73789787,76.02402496,76.1328125,300.5480652,0.014241353
E. globulus,17/01/2011,1,Amb,400,1059,Sustained drought,-0.516646594,0.001516604,938.0501391,0.655225791,0.010088814,6,0,1.420000017,16.95955276,18.45942497,16.09514427,398.597229,399.6207886,14.71780777,14.73765564,76.03023529,76.13276672,300.4895325,-0.022656767
E. globulus,17/01/2011,1,Amb,400,1059,Sustained drought,-0.521823905,0.001466995,962.0277585,0.65538197,0.009761415,6,0,1.420000017,16.95877266,18.46089935,16.09577942,398.6099854,399.6443176,14.71875477,14.73796177,76.03940582,76.13863373,300.4389343,-0.043371659
E. globulus,17/01/2011,1,Amb,400,1059,Sustained drought,-0.531234359,0.001540566,944.727915,0.655288396,0.010248871,6,0,1.420000017,16.9591732,18.46185493,16.0958271,398.594696,399.6477966,14.71984863,14.74002171,76.04389191,76.14810944,300.335083,-0.002589394
E. globulus,17/01/2011,1,Amb,400,1077,Rewatered  drought,-0.749995128,0.043730918,424.1312164,0.676415669,0.291478614,6,0,1.420000017,16.96654892,18.36149597,16.09543991,399.2154236,400.4802246,13.81700134,14.39078617,71.37076569,74.33460999,300.4094849,0.078975908
E. globulus,17/01/2011,1,Amb,400,1077,Rewatered  drought,-0.687507297,0.043718509,421.7171355,0.676237501,0.291322244,6,0,1.420000017,16.96645355,18.35965347,16.0957222,399.2503967,400.390686,13.81663799,14.39017391,71.3690567,74.33161926,300.3788147,0.100984931
E. globulus,17/01/2011,1,Amb,400,1077,Rewatered  drought,-0.708987971,0.043749514,422.6025,0.676114289,0.291468998,6,0,1.420000017,16.96747971,18.35978889,16.09633636,399.3091125,400.4921265,13.81772327,14.39154434,71.37020874,74.3340683,300.3803711,0.029130559
