Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Elv,400,1025,Rewatered  drought,10.25133548,0.345818262,314.0694444,7.233083426,2.485627436,6,0,,32.6144371,34.04391098,32.08616638,401.1602173,385.5371094,20.38085938,28.79722595,41.09378815,58.06365585,500.7950134,1998.769775,0.814628311
E. globulus,2011/01/17,1,Elv,400,1029,,5.210010382,0.169313073,326.0098542,3.401059951,2.157450029,6,0,,32.82272339,32.19134903,32.07901764,400.8484497,393.0049133,22.80798912,26.77370262,45.46529007,53.37051773,500.7927551,1999.377319,0.829531243
E. globulus,2011/01/17,1,Elv,400,1029,,4.959071929,0.167181797,327.9834389,3.364443248,2.158572028,6,0,,32.82531357,32.18867111,32.07905197,400.5315857,393.006073,22.83196449,26.75498581,45.50668335,53.3257103,500.8019104,1999.313232,0.834550561
E. globulus,2011/01/17,1,Elv,400,1029,,4.912017281,0.166459567,328.3105177,3.351545504,2.158656367,6,0,,32.82651901,32.18518448,32.07936859,400.5125427,393.0491333,22.83660698,26.74472046,45.51264954,53.30139923,500.7903748,1999.249146,0.83529129
E. globulus,2011/01/17,1,Elv,400,1029,,5.136338997,0.166350128,325.962316,3.351822242,2.160089623,6,0,,32.82772827,32.18704224,32.07962418,400.8057861,393.0734863,22.82725525,26.73567772,45.49049377,53.2792511,500.7967834,1999.204224,0.829265589
E. globulus,2011/01/17,1,Elv,400,1029,,5.184119195,0.165562048,325.2309549,3.338972611,2.160981724,6,0,,32.82918549,32.18808746,32.08000565,400.8618469,393.0783081,22.83610344,26.72957993,45.5044136,53.26276016,500.795105,1999.148804,0.827394817
E. globulus,2011/01/17,1,Elv,400,1030,Sustained drought,0.631724657,0.005108932,181.774669,0.211205206,3.960751287,6,0,,33.13733673,36.93450165,32.18673706,400.3674011,399.5093994,23.02331352,23.27048111,45.1161232,45.60046768,500.7704163,1999.13623,0.454994724
E. globulus,2011/01/17,1,Elv,400,1030,Sustained drought,0.419495073,0.005520164,256.2591452,0.223033766,3.873878522,6,0,,33.14176178,36.68074417,32.19115829,400.1296387,399.5202026,23.01268768,23.27371979,45.08439636,45.59578323,500.7267761,1999.053833,0.641417239
E. globulus,2011/01/17,1,Elv,400,1030,Sustained drought,0.275434049,0.005233213,292.9440338,0.208096401,3.813038926,6,0,,33.14756775,36.50179291,32.19541168,399.9483643,399.5187378,23.0346489,23.27817726,45.11260223,45.58954239,500.7686768,1998.93396,0.733242289
E. globulus,2011/01/17,1,Elv,400,1030,Sustained drought,0.201554469,0.005386665,316.3184733,0.216434535,3.852456805,6,0,,33.15180206,36.61994553,32.19843674,399.8083191,399.4632568,23.02891731,23.28218651,45.0907402,45.58664322,500.8002625,1998.888184,0.791858745
E. globulus,2011/01/17,1,Elv,400,1030,Sustained drought,0.489819587,0.005682767,239.9321273,0.23358472,3.940085268,6,0,,33.15585327,36.87836075,32.20185852,400.1091614,399.410553,23.01136017,23.28469276,45.0461235,45.58119202,500.8091431,1998.910767,0.600715543
E. globulus,2011/01/17,1,Elv,400,1032,Rewatered  drought,10.92525496,0.183978738,265.056249,4.453312892,2.620978673,6,0,,32.403862,33.89992142,32.09867096,399.7267456,384.5855713,21.76819801,26.95975304,44.49718475,55.10943222,500.8040161,1997.777222,0.689199671
E. globulus,2011/01/17,1,Elv,400,1032,Rewatered  drought,10.98857799,0.184766822,264.8578312,4.469366837,2.620478627,6,0,,32.4077034,33.90209198,32.09905624,399.8077087,384.5835571,21.76100731,26.97112274,44.4729805,55.1208992,500.8130493,1998.704346,0.688687351
E. globulus,2011/01/17,1,Elv,400,1032,Rewatered  drought,11.1415641,0.185141083,263.5103774,4.478171983,2.620899605,6,0,,32.41287231,33.90817642,32.09916687,399.8951111,384.4844055,21.76477814,26.9849968,44.46769714,55.13314056,500.8213806,1999.607666,0.685360378
E. globulus,2011/01/17,1,Elv,400,1032,Rewatered  drought,11.05827249,0.185421659,264.3743958,4.488470146,2.623331265,6,0,,32.41605377,33.92013931,32.09914398,399.7495422,384.4342041,21.76420593,26.99634933,44.45829773,55.14612961,500.8231812,2000.114258,0.687697382
E. globulus,2011/01/17,1,Elv,400,1032,Rewatered  drought,10.82705916,0.186604299,267.0785851,4.51900024,2.626283501,6,0,,32.42111588,33.9370842,32.09905624,399.4532776,384.4004822,21.74924469,27.01706696,44.41524124,55.17292786,500.8039246,1999.866333,0.694792534
E. globulus,2011/01/17,1,Elv,400,1033,Well watered,7.059344087,0.16561008,299.6419181,4.396630565,2.837690408,6,0,,32.94449234,34.79914856,32.10053635,401.2990723,390.7826538,22.38866043,27.51140785,44.40578079,54.56626511,500.7867126,1999.658813,0.766773845
E. globulus,2011/01/17,1,Elv,400,1033,Well watered,7.202646478,0.165377684,298.0364453,4.397196456,2.841542555,6,0,,32.94664764,34.8140564,32.10084152,401.4712524,390.7828369,22.39575195,27.51913643,44.41439438,54.57489395,500.7849121,1999.693604,0.762665136
